等級,本級累積信用經驗,升至下一級所需經驗
1,0,100
2,100,500
3,600,907
4,1507,1326
5,2833,1763
6,4596,2224
7,6820,2715
8,9535,3242
9,12777,3811
10,16588,4428
11,21016,5098
12,26114,5829
13,31943,6625
14,38568,7494
15,46062,8440
16,54502,9470
17,63972,10590
18,74562,11806
19,86368,13124
20,99492,14550
21,114042,16089
22,130131,17748
23,147879,19534
24,167413,21451
25,188864,23506
26,212370,25704
27,238074,28053
28,266127,30557
29,296684,33223
30,329907,36057
31,365964,39064
32,405028,42252
33,447280,45625
34,492905,49190
35,542095,52952
36,595047,56919
37,651966,61095
38,713061,65487
39,778548,70100
40,848648,74941
41,923589,80016
42,1003605,85331
43,1088936,90891
44,1179827,96703
45,1276530,102773
46,1379303,109106
47,1488409,115709
48,1604118,122588
49,1726706,129748
50,1856454,137196
51,1993650,144937
52,2138587,152978
53,2291565,161325
54,2452890,169983
55,2622873,178959
56,2801832,188258
57,2990090,197887
58,3187977,207852
59,3395829,218158
60,3613987,228812
61,3842799,239819
62,4082618,251185
63,4333803,262918
64,4596721,275021
65,4871742,287503
66,5159245,300367
67,5459612,313622
68,5773234,327272
69,6100506,341323
70,6441829,355781
71,6797610,370654
72,7168264,385945
73,7554209,401662
74,7955871,417811
75,8373682,434397
76,8808079,451426
77,9259505,468905
78,9728410,486839
79,10215249,505235
80,10720484,524098
81,11244582,543434
82,11788016,563250
83,12351266,583551
84,12934817,604343
85,13539160,625633
86,14164793,647426
87,14812219,669729
88,15481948,692546
89,16174494,715886
90,16890380,739752
91,17630132,764152
92,18394284,789091
93,19183375,814575
94,19997950,840611
95,20838561,867204
96,21705765,894360
97,22600125,922085
98,23522210,950386
99,24472596,979268
100,25451864,1008737
101,26460601,1038800
102,27499401,1069461
103,28568862,1100728
104,29669590,1132606
105,30802196,1165101
106,31967297,1198220
107,33165517,1231967
108,34397484,1266350
109,35663834,1301374
110,36965208,1337045
111,38302253,1373369
112,39675622,1410353
113,41085975,1448001
114,42533976,1486321
115,44020297,1525317
116,45545614,1564997
117,47110611,1605366
118,48715977,1646430
