國家/地區,分類,名稱,來源網址
朝鮮,傭兵,刀手,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,傭兵,醫術師,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,傭兵,儒生,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,傭兵,槍手,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,傭兵,弓手,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,傭兵,破戒僧,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,傭兵,騎馬弓手,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,傭兵,朝鮮挑夫,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,將帥,權慄,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,將帥,許浚,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,將帥,柳城龍,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,將帥,金時敏,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,將帥,李舜臣,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,將帥,四溟大師,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
朝鮮,將帥,申砬,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,傭兵,陰陽師,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,傭兵,騎馬武士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,傭兵,忍者,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,傭兵,退魔師,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,傭兵,騎狼浪人,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,傭兵,鐵砲浪人,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,傭兵,劍術浪人,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,傭兵,日本挑夫,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,將帥,晴明,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,將帥,小西行長,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,將帥,朝子,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,將帥,清祥,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,將帥,德川家康,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,將帥,協阪安治,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
日本,將帥,加藤清正,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,傭兵,念力師,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,傭兵,野獸戰士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,傭兵,棒術家,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,傭兵,斧頭巨漢,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,傭兵,西洋槍手,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,傭兵,咒術士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,傭兵,女戰士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,傭兵,台灣挑夫,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,將帥,張仙花,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,將帥,孫維昌,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,將帥,柳永福,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,將帥,王巨漢,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,將帥,帕羅爵士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,將帥,林平厚,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
台灣,將帥,趙世琳,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,傭兵,道術師,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,傭兵,長槍武士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,傭兵,大刀武士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,傭兵,武道家,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,傭兵,冒險家,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,傭兵,修道僧,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,傭兵,火砲手,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,傭兵,中國挑夫,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,將帥,舜飛燕,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,將帥,郭厚,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,將帥,祖承訓,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,將帥,東方不敗,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,將帥,祝融,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,將帥,諸葛孔明,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
中國,將帥,李寧,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,踞喀族戰士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,暗殺者,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,大刀兵,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,治療師,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,魔術師,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,石弓手,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,大砲兵,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,蛇術士,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,傭兵,瑜珈僧,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,坤瓦哩,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,拜以拉,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,法治羅,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,沙維特力,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,菲菲莎娜,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,金毗羅,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,毗羯羅,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,帕爾瓦蒂,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
印度,將帥,羅摩,https://gs.mangot5.com/game/gs/information/detail?contentNo=43707
